video_filename,url,title,length_seconds,publish_date,description,keywords,date,date_src,transcription_filename,folder
video_1.mp4,https://www.youtube.com/watch?v=2Ypstu_wRzU,"Cumhurbaşkanımız Erdoğan, Bağcılar Mitingi’nde konuştu",2233,2019-03-30,,[],30.03.2019,live_stream,,Videos1
video_2.mp4,https://www.youtube.com/watch?v=y-tPGl8qRxQ,"Cumhurbaşkanımız Erdoğan, Bahçelievler Mitingi’nde konuştu",1951,2019-03-30,,[],30.03.2019,live_stream,,Videos1
video_3.mp4,https://www.youtube.com/watch?v=GqiZlUieCng,"Cumhurbaşkanımız Erdoğan, Güngören Mitingi’nde konuştu",1469,2019-03-30,,[],30.03.2019,live_stream,,Videos1
video_4.mp4,https://www.youtube.com/watch?v=9TLvJTtma0M,"Cumhurbaşkanımız Erdoğan, Sultangazi Mitingi’nde konuştu",1421,2019-03-30,,[],02.02.2015,tccb_videos,,Videos1
video_5.mp4,https://www.youtube.com/watch?v=pCfdU8fLeqA,"Cumhurbaşkanımız Erdoğan, Bayrampaşa  Mitingi’nde konuştu",1652,2019-03-30,,[],06.02.2015,tccb_videos,,Videos1
video_6.mp4,https://www.youtube.com/watch?v=IfqRfxc5sI0,"Cumhurbaşkanımız Erdoğan, Kağıthane Mitingi’nde konuştu",1478,2019-03-30,,[],30.03.2019,live_stream,,Videos1
video_7.mp4,https://www.youtube.com/watch?v=mSyzU0VGWM0,"Cumhurbaşkanımız Erdoğan, Beykoz  Mitingi'nde konuştu",1991,2019-03-29,,[],20.02.2015,tccb_videos,,Videos1
video_8.mp4,https://www.youtube.com/watch?v=AbJjTZmE5SU,"Cumhurbaşkanımız Erdoğan, Ümraniye Mitingi'nde konuştu",1812,2019-03-29,,[],21.02.2015,tccb_videos,,Videos1
video_9.mp4,https://www.youtube.com/watch?v=qEYQfnf6bhA,"Cumhurbaşkanımız Erdoğan, Çekmeköy  Mitingi'nde konuştu",2285,2019-03-29,,[],29.03.2019,live_stream,,Videos1
video_10.mp4,https://www.youtube.com/watch?v=dil1XoZ5C2E,"Cumhurbaşkanımız Erdoğan, Sultanbeyli  Mitingi'nde konuştu",1631,2019-03-29,,[],29.03.2019,live_stream,,Videos1
video_11.mp4,https://www.youtube.com/watch?v=fAa7wM80kJc,"Cumhurbaşkanımız Erdoğan, Maltepe Mitingi'nde konuştu",2430,2019-03-29,,"['Adalet ve kalkınma partisi', 'akp', 'ak parti', 'ak party', 'reklam', '31 mart 2019', 'çevre', 'seçim', 'seçim kampanyası', 'recep tayyip Erdoğan', 'çevreye duyarlı kampanya', 'çevreci kampanya']",,,,Videos1
video_12.mp4,https://www.youtube.com/watch?v=-R1QYzpwTIg,"Cumhurbaşkanımız Erdoğan, Pendik   Mitingi'nde konuştu",1496,2019-03-29,,[],14.03.2015,tccb_videos,,Videos1
video_13.mp4,https://www.youtube.com/watch?v=0k676J48PAk,"Cumhurbaşkanımız Erdoğan, Tuzla  Mitingi'nde konuştu",2471,2019-03-29,,[],14.03.2015,tccb_videos,,Videos1
video_14.mp4,https://www.youtube.com/watch?v=fD3cAzENoVs,"Cumhurbaşkanımız Erdoğan, Çubuk Mitingi'nde konuştu",1819,2019-03-28,,[],14.03.2015,tccb_videos,,Videos1
video_15.mp4,https://www.youtube.com/watch?v=AyoDFnseOco,"Cumhurbaşkanımız Erdoğan, Elmadağ Mitingi'nde konuştu",2290,2019-03-28,,[],14.03.2015,tccb_videos,,Videos1
video_16.mp4,https://www.youtube.com/watch?v=YvZ4F6dT-2M,"Cumhurbaşkanımız Erdoğan, Haymana Mitingi'nde konuştu",1020,2019-03-28,,[],15.03.2015,tccb_videos,,Videos1
